name,source,start_date,end_date,multiplier,affected_brand,affected_barcodes
Ariel Anniversary Sale,MANUFACTURER_CAMPAIGN,2023-11-12,2023-11-18,2.16,Ariel,
Oishi Product Launch,MANUFACTURER_CAMPAIGN,2023-02-15,2023-02-24,2.83,Oishi,
Alaska Back to School Promo,MANUFACTURER_CAMPAIGN,2023-01-03,2023-01-10,2.35,Alaska,
Pepsi Anniversary Sale,MANUFACTURER_CAMPAIGN,2024-05-15,2024-05-20,2.04,Pepsi,
Oishi Product Launch,MANUFACTURER_CAMPAIGN,2024-12-09,2024-12-18,2.56,Oishi,
555 Back to School Promo,MANUFACTURER_CAMPAIGN,2024-08-07,2024-08-12,2.12,555,
Alaska Anniversary Sale,MANUFACTURER_CAMPAIGN,2025-09-21,2025-09-29,2.35,Alaska,
Coca-Cola Product Launch,MANUFACTURER_CAMPAIGN,2025-01-05,2025-01-10,2.29,Coca-Cola,
Joy Holiday Special,MANUFACTURER_CAMPAIGN,2025-06-16,2025-06-24,2.77,Joy,
Pepsi TV Commercial Campaign,MANUFACTURER_CAMPAIGN,2026-12-02,2026-12-11,2.71,Pepsi,
Coca-Cola Holiday Special,MANUFACTURER_CAMPAIGN,2026-01-05,2026-01-14,2.39,Coca-Cola,
Pepsi Back to School Promo,MANUFACTURER_CAMPAIGN,2026-10-13,2026-10-19,2.31,Pepsi,
Christian Minimart February Sale,STORE_DISCOUNT,2023-02-09,2023-02-22,1.59,,480198112005|480392515110|870021639476|480392515116|480057511015
Christian Minimart May Sale,STORE_DISCOUNT,2023-05-14,2023-05-27,1.65,,480198112000|000008586780|893951811445
Christian Minimart August Sale,STORE_DISCOUNT,2023-08-11,2023-08-18,2.01,,480198111607|480057511015|480198118062|748485200019|480392515112|480392525110
Christian Minimart November Sale,STORE_DISCOUNT,2023-11-12,2023-11-23,2.08,,642321541122|480198112005|480864702009|480198111664|480057511015|480002201028
Christian Minimart February Sale,STORE_DISCOUNT,2024-02-13,2024-02-22,1.64,,965412919613|642611907726|480198111607|480057511015|480864702009|480088814685
Christian Minimart May Sale,STORE_DISCOUNT,2024-05-04,2024-05-14,2.17,,037000359562|489120804013|480198112005|748485200019|480036141081|893921341445
Christian Minimart August Sale,STORE_DISCOUNT,2024-08-13,2024-08-25,1.74,,480198111607|748485800035|000008586780|480392515110|480198112010
Christian Minimart November Sale,STORE_DISCOUNT,2024-11-02,2024-11-12,1.93,,489120804013|544900000099|748485800035|480198112010
Christian Minimart February Sale,STORE_DISCOUNT,2025-02-15,2025-02-28,1.83,,480191198062|480864702009|480198118062
Christian Minimart May Sale,STORE_DISCOUNT,2025-05-05,2025-05-12,2.03,,490243086729|480004784003|480088814685|480198111696
Christian Minimart August Sale,STORE_DISCOUNT,2025-08-15,2025-08-22,2.19,,480392515112|480198111696|480198112005
Christian Minimart November Sale,STORE_DISCOUNT,2025-11-01,2025-11-10,1.7,,480198109722|489120804013|480864731007|480002201028|480392515114
Christian Minimart February Sale,STORE_DISCOUNT,2026-02-13,2026-02-25,2.18,,480191198062|480198112010|480198111664
Christian Minimart May Sale,STORE_DISCOUNT,2026-05-10,2026-05-21,1.65,,480191198062|642647382226|037000359562|893951811445
Christian Minimart August Sale,STORE_DISCOUNT,2026-08-15,2026-08-23,2.19,,870021639476|893921341445|893951811445
Christian Minimart November Sale,STORE_DISCOUNT,2026-11-13,2026-11-27,1.67,,480004784003|480057513016|037000359562|480392515112
New Year's Day,HOLIDAY,2023-01-01,2023-01-03,1.6,,
Valentine's Day,HOLIDAY,2023-02-14,2023-02-16,1.4,,
Holy Week,HOLIDAY,2023-03-28,2023-04-01,1.5,,
Labor Day,HOLIDAY,2023-05-01,2023-05-02,1.3,,
Independence Day,HOLIDAY,2023-06-12,2023-06-13,1.3,,
Bonifacio Day,HOLIDAY,2023-11-30,2023-12-01,1.3,,
Christmas Eve,HOLIDAY,2023-12-24,2023-12-26,2.0,,
Christmas Day,HOLIDAY,2023-12-25,2023-12-27,1.8,,
New Year's Eve,HOLIDAY,2023-12-31,2024-01-01,1.9,,
New Year's Day,HOLIDAY,2024-01-01,2024-01-03,1.6,,
Valentine's Day,HOLIDAY,2024-02-14,2024-02-16,1.4,,
Holy Week,HOLIDAY,2024-03-28,2024-04-01,1.5,,
Labor Day,HOLIDAY,2024-05-01,2024-05-02,1.3,,
Independence Day,HOLIDAY,2024-06-12,2024-06-13,1.3,,
Bonifacio Day,HOLIDAY,2024-11-30,2024-12-01,1.3,,
Christmas Eve,HOLIDAY,2024-12-24,2024-12-26,2.0,,
Christmas Day,HOLIDAY,2024-12-25,2024-12-27,1.8,,
New Year's Eve,HOLIDAY,2024-12-31,2025-01-01,1.9,,
New Year's Day,HOLIDAY,2025-01-01,2025-01-03,1.6,,
Valentine's Day,HOLIDAY,2025-02-14,2025-02-16,1.4,,
Holy Week,HOLIDAY,2025-03-28,2025-04-01,1.5,,
Labor Day,HOLIDAY,2025-05-01,2025-05-02,1.3,,
Independence Day,HOLIDAY,2025-06-12,2025-06-13,1.3,,
Bonifacio Day,HOLIDAY,2025-11-30,2025-12-01,1.3,,
Christmas Eve,HOLIDAY,2025-12-24,2025-12-26,2.0,,
Christmas Day,HOLIDAY,2025-12-25,2025-12-27,1.8,,
New Year's Eve,HOLIDAY,2025-12-31,2026-01-01,1.9,,
New Year's Day,HOLIDAY,2026-01-01,2026-01-03,1.6,,
Valentine's Day,HOLIDAY,2026-02-14,2026-02-16,1.4,,
Holy Week,HOLIDAY,2026-03-28,2026-04-01,1.5,,
Labor Day,HOLIDAY,2026-05-01,2026-05-02,1.3,,
Independence Day,HOLIDAY,2026-06-12,2026-06-13,1.3,,
Bonifacio Day,HOLIDAY,2026-11-30,2026-12-01,1.3,,
Christmas Eve,HOLIDAY,2026-12-24,2026-12-26,2.0,,
Christmas Day,HOLIDAY,2026-12-25,2026-12-27,1.8,,
New Year's Eve,HOLIDAY,2026-12-31,2027-01-01,1.9,,
