id,product_barcode,product_name,quantity,expiry_date,received_date,supplier_ref,supplier_name,supplier_id,cost_price,status
1,480198111607,Coke 1.5L,148,2024-02-12,2024-01-01 00:00:00,PPP-20240101-0001,Pepsi-Cola Products Philippines,3,54.0,ACTIVE
2,480198118062,Sprite 1.5L,211,2024-08-26,2024-01-01 00:00:00,SMC-20240101-0002,San Miguel Corporation,1,54.0,ACTIVE
3,480198111664,Coke Zero 1.5L,291,2024-03-25,2024-01-01 00:00:00,CBP-20240101-0003,Coca-Cola Beverages Philippines,2,54.0,ACTIVE
4,480004784003,Zonrox Original Bleach 250ml,97,2026-10-27,2024-01-01 00:00:00,UP-20240101-0004,Unilever Philippines,10,34.0,ACTIVE
5,480392515112,7-up 1.5L,190,2024-10-01,2024-01-02 00:00:00,PPP-20240102-0005,Pepsi-Cola Products Philippines,3,50.01,ACTIVE
6,480198112717,Coke Swakto 195ml (1 Case),12,2024-10-27,2024-01-02 00:00:00,SMC-20240102-0006,San Miguel Corporation,1,112.01,ACTIVE
7,542353276241,Royal 1L (1 Case),18,2024-10-04,2024-01-02 00:00:00,SMC-20240102-0007,San Miguel Corporation,1,315.04,ACTIVE
8,489120804013,Oishi Prawn Crackers 60g,138,2024-08-15,2024-01-02 00:00:00,RGO-20240102-0008,Rebisco Group of Companies,12,15.5,ACTIVE
9,642647382226,Sisters Night Plus Cottony Napkin,194,2026-01-14,2024-01-02 00:00:00,UP-20240102-0009,Unilever Philippines,10,40.0,ACTIVE
10,490243078997,Joy Dishwashing Liquid Lemon Sachet 40ml,166,2026-06-07,2024-01-02 00:00:00,P&G-20240102-0010,Procter & Gamble Philippines,9,10.5,ACTIVE
11,480198112720,Royal Swakto 195ml (1 Case),28,2024-02-10,2024-01-03 00:00:00,SMC-20240103-0011,San Miguel Corporation,1,112.03,ACTIVE
12,480036141081,Nestle Bear Brand Fortified 33g,61,2024-05-08,2024-01-03 00:00:00,AMC-20240103-0012,Alaska Milk Corporation,8,10.0,ACTIVE
13,480198112005,Sprite 500ml,45,2024-12-31,2024-01-04 00:00:00,SMC-20240104-0013,San Miguel Corporation,1,22.51,ACTIVE
14,480392525110,Pepsi 500ml,151,2024-02-16,2024-01-04 00:00:00,SMC-20240104-0014,San Miguel Corporation,1,20.01,ACTIVE
15,480392515110,Pepsi 1.5L,204,2024-05-19,2024-01-04 00:00:00,SMC-20240104-0015,San Miguel Corporation,1,50.02,ACTIVE
16,037000359562,Ariel With a Touch of Downy Freshness Powder,80,2026-03-14,2024-01-04 00:00:00,P&G-20240104-0016,Procter & Gamble Philippines,9,595.22,ACTIVE
17,480191198062,Royal Tru Orange 1.5L,133,2024-06-02,2024-01-05 00:00:00,PPP-20240105-0017,Pepsi-Cola Products Philippines,3,54.03,ACTIVE
18,480198102719,Sprite Swakto 195ml (1 Case),10,2024-11-09,2024-01-05 00:00:00,PPP-20240105-0018,Pepsi-Cola Products Philippines,3,112.06,ACTIVE
19,965412919731,Energen Cereal Milk Chocolate Drink 40g,135,2024-04-08,2024-01-05 00:00:00,OST-20240105-0019,Oishi Snack Time,13,8.0,ACTIVE
20,965412919613,Energen Cereal Drink Mix Vanilla Hanger 40g,114,2024-05-27,2024-01-05 00:00:00,PSC-20240105-0020,Philippine Seven Corp (7-Eleven Dist.),15,7.5,ACTIVE
21,480002201028,Hunts Pork & Beans 100g Doy,44,2025-12-03,2024-01-05 00:00:00,DMP-20240105-0021,Del Monte Philippines Inc.,14,13.01,ACTIVE
22,480392515116,Mirinda Orange 1.5L,211,2024-08-29,2024-01-06 00:00:00,SMC-20240106-0022,San Miguel Corporation,1,54.03,ACTIVE
23,480198111696,Coke Light 1.5L,162,2024-10-25,2024-01-06 00:00:00,CBP-20240106-0023,Coca-Cola Beverages Philippines,2,58.54,ACTIVE
24,480864731007,Tang Orange 250g,15,2024-03-17,2024-01-06 00:00:00,NPI-20240106-0024,Nestle Philippines Inc.,4,195.12,ACTIVE
25,480198112010,Royal Tru Orange 500ml,268,2024-02-19,2024-01-07 00:00:00,PPP-20240107-0025,Pepsi-Cola Products Philippines,3,22.52,ACTIVE
26,480392515114,Mountain Dew 1.5L,82,2024-02-19,2024-01-07 00:00:00,CBP-20240107-0026,Coca-Cola Beverages Philippines,2,50.04,ACTIVE
27,480198109722,Royal Tru Strawberry 1.5L,252,2024-09-20,2024-01-07 00:00:00,PPP-20240107-0027,Pepsi-Cola Products Philippines,3,54.04,ACTIVE
28,480611352020,Juicy Lemon 237 ml (1 Bundle),8,2024-07-03,2024-01-07 00:00:00,PPP-20240107-0028,Pepsi-Cola Products Philippines,3,127.09,ACTIVE
29,893921341445,San Sky Flakes Crackers Original 25g x 10s,133,2024-09-05,2024-01-07 00:00:00,NPI-20240107-0029,Nestle Philippines Inc.,4,52.54,ACTIVE
30,748485800035,Argentina Corned Beef 260g,147,2025-04-11,2024-01-07 00:00:00,CPF-20240107-0030,Century Pacific Food Inc.,7,52.04,ACTIVE
31,480392525114,Mountain Dew 500ml,73,2024-02-27,2024-01-08 00:00:00,CBP-20240108-0031,Coca-Cola Beverages Philippines,2,20.02,ACTIVE
32,748485200019,555 Sardines in Tomato Sauce 155g,185,2025-08-12,2024-01-08 00:00:00,NI-20240108-0032,NutriAsia Inc.,11,22.02,ACTIVE
33,480057511015,Alaska Classic Evaporated Filled Milk 140ml,44,2024-03-07,2024-01-08 00:00:00,NPI-20240108-0033,Nestle Philippines Inc.,4,25.52,ACTIVE
34,000008586780,Datu Puti Patis 1L,129,2025-01-06,2024-01-08 00:00:00,NI-20240108-0034,NutriAsia Inc.,11,73.06,ACTIVE
35,642611907726,Ajinomoto Seasoning Mix 50g,87,2024-11-21,2024-01-08 00:00:00,UP-20240108-0035,Unilever Philippines,10,11.51,ACTIVE
36,870021639476,Downy Sunrise Fresh Fabric Conditioner Sachet 20ml,95,2026-03-31,2024-01-08 00:00:00,P&G-20240108-0036,Procter & Gamble Philippines,9,6.01,ACTIVE
37,544900000099,Coca-Cola Mismo 295ml,151,2024-12-05,2024-01-09 00:00:00,CBP-20240109-0037,Coca-Cola Beverages Philippines,2,18.02,ACTIVE
38,480057513016,Alaska Condensada Sweetened Condensed Creamer 168ml,80,2024-05-27,2024-01-09 00:00:00,AMC-20240109-0038,Alaska Milk Corporation,8,35.03,ACTIVE
39,642321541122,Sisters Overnight Dry,152,2025-09-27,2024-01-09 00:00:00,UP-20240109-0039,Unilever Philippines,10,105.1,ACTIVE
