name,category,retail_price,wholesale_price,stock,cost_price,barcode,image_url,reorder_level,expiry_date
"Coca-Cola Mismo 295ml",Soda,20.00,0.00,450,18.00,544900000099,https://marilenminimart.com/cdn/shop/products/Coca-Cola-Coke-Mismo-295ml-Main.png?v=1616822087,100,2026-12-15
"Alaska Classic Evaporated Filled Milk 140ml",Dairy,28.20,0.00,320,25.50,480057511015,https://imartgrocersph.com/wp-content/uploads/2020/09/Alaska-Evaporada-140mL.png,80,2027-06-15
"Alaska Condensada Sweetened Condensed Creamer 168ml",Dairy,39.00,0.00,280,35.00,480057513016,https://shopmetro.ph/marketmarket-supermarket/wp-content/uploads/2023/10/SM9628048-10.jpg,70,2027-08-20
"Downy Sunrise Fresh Fabric Conditioner Sachet 20ml",Household,7.00,0.00,800,6.00,870021639476,https://marilenminimart.com/cdn/shop/products/Capture_213ad5a0-78da-4ff7-88d8-9f756e098352_460x.png?v=1617856826,200,2028-06-15
"Zonrox Original Bleach 250ml",Household,38.00,0.00,280,34.00,480004784003,https://shopsuki.ph/cdn/shop/files/102055624_600x.jpg?v=1682386511,60,2028-12-01
"Milo 22g Sachet",Beverages,12.00,0.00,650,10.50,955600121722,https://static.wixstatic.com/media/4c9109_4fce10c808b34d2d8e5f0c274b6257aa~mv2.jpeg/v1/fill/w_720h_720al_clg_1q_85enc_avifquality_auto/4c9109_4fce10c808b34d2d8e5f0c274b6257aa~mv2.jpeg,150,2027-06-30
"Nestle Bear Brand Fortified 33g",Beverages,11.50,0.00,550,10.00,480036141081,https://i0.wp.com/bluerabbitshop.com/wp-content/uploads/2021/08/Bear-Brand-Sachet-scaled.jpg?resize=1153%2C1536&ssl=1,120,2027-05-15
"Eden Cheese 165g",Dairy,78.00,0.00,180,70.00,480864702009,https://store.iloilosupermart.com/wp-content/uploads/2020/05/87564564-3.jpg,40,2026-08-05
"Joy Dishwashing Liquid Lemon 475ml",Household,134.00,0.00,220,120.00,490243086729,https://www.watsons.com.ph/joy-dish-washing-joy-dishwashing-liquid-lemon-475ml-bottle/p/BP_50050843,50,2028-06-01
"Sunsilk Personal care Strong & Long 350ml",Personal care,150.00,0.00,180,135.00,480088814685,https://zbga.shopsuki.ph/cdn/shop/files/4800888146854_600x.jpg?v=1715839903,40,2028-03-15
