date,barcode,product_name,brand,category,quantity,retail_price,cost_price,subtotal,cost_total,profit,payment_method,is_event,event_source,event_name,seasonality_multiplier,total_multiplier
2024-01-01,544900000099,Coca-Cola Mismo 295ml,Coca-Cola,SODA,10,20.0,18.0,200.0,180.0,20.0,GCASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480198112005,Sprite 500ml,Coca-Cola,SOFTDRINKS_CASE,14,25.0,22.5,350.0,315.0,35.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480198112010,Royal Tru Orange 500ml,Coca-Cola,SOFTDRINKS_CASE,11,25.0,22.5,275.0,247.5,27.5,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480198112000,Coke 500ml,Coca-Cola,SOFTDRINKS_CASE,22,25.0,22.5,550.0,495.0,55.0,GCASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480392525114,Mountain Dew 500ml,Pepsi,SOFTDRINKS_CASE,18,22.0,20.0,396.0,360.0,36.0,GCASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480392525110,Pepsi 500ml,Pepsi,SOFTDRINKS_CASE,10,22.0,20.0,220.0,200.0,20.0,GCASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480198111607,Coke 1.5L,Coca-Cola,SOFTDRINKS_CASE,7,60.0,54.0,420.0,378.0,42.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480198118062,Sprite 1.5L,Coca-Cola,SOFTDRINKS_CASE,18,60.0,54.0,1080.0,972.0,108.0,GCASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480191198062,Royal Tru Orange 1.5L,Coca-Cola,SOFTDRINKS_CASE,9,60.0,54.0,540.0,486.0,54.0,GCASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480392515114,Mountain Dew 1.5L,Pepsi,SOFTDRINKS_CASE,11,55.0,50.0,605.0,550.0,55.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480392515110,Pepsi 1.5L,Pepsi,SOFTDRINKS_CASE,26,55.0,50.0,1430.0,1300.0,130.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480198111664,Coke Zero 1.5L,Coca-Cola,SOFTDRINKS_CASE,22,60.0,54.0,1320.0,1188.0,132.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480392515112,7-up 1.5L,Pepsi,SOFTDRINKS_CASE,17,55.0,50.0,935.0,850.0,85.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480198109722,Royal Tru Strawberry 1.5L,Coca-Cola,SOFTDRINKS_CASE,9,60.0,54.0,540.0,486.0,54.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480392515116,Mirinda Orange 1.5L,Pepsi,SOFTDRINKS_CASE,26,60.0,54.0,1560.0,1404.0,156.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480198111696,Coke Light,Coca-Cola,SOFTDRINKS_CASE,22,65.0,58.5,1430.0,1287.0,143.0,GCASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,955600121722,Milo 22g Sachet,Nestle,BEVERAGES,18,12.0,10.5,216.0,189.0,27.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480036141081,Nestle Bear Brand Fortified 33g,Nestle,BEVERAGES,22,11.5,10.0,253.0,220.0,33.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480864731007,Tang Orange 250g,Tang,BEVERAGES,10,216.0,195.0,2160.0,1950.0,210.0,GCASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,965412919731,Energen Cereal Milk Chocolate Drink 40g,Energen,BEVERAGES,10,9.0,8.0,90.0,80.0,10.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,965412919613,Energen Cereal Drink Mix Vanilla Hanger 40g,Energen,BEVERAGES,13,8.6,7.5,111.8,97.5,14.3,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,489120804013,Oishi Prawn Crackers 60g,Oishi,SNACK,24,17.6,15.5,422.4,372.0,50.4,GCASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,893921341445,San Sky Flakes Crackers Original 25g x 10s,M.Y. San,SNACK,26,58.4,52.5,1518.4,1365.0,153.4,GCASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,893951811445,Hansel Mocha Sandwich,Rebisco,SNACK,21,60.2,54.0,1264.2,1134.0,130.2,GCASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,748485200019,555 Sardines in Tomato Sauce 155g,555,CANNED_GOODS,17,25.0,22.0,425.0,374.0,51.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,748485800035,Argentina Corned Beef 260g,Argentina,CANNED_GOODS,15,57.5,52.0,862.5,780.0,82.5,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480002201028,Hunts Pork & Beans 100g Doy,Hunts,CANNED_GOODS,22,14.5,13.0,319.0,286.0,33.0,GCASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480057511015,Alaska Classic Evaporated Filled Milk 140ml,Alaska,DAIRY,11,28.2,25.5,310.2,280.5,29.7,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480057513016,Alaska Condensada Sweetened Condensed Creamer 168ml,Alaska,DAIRY,24,39.0,35.0,936.0,840.0,96.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480864702009,Eden Cheese 165g,Mondelez,DAIRY,21,78.0,70.0,1638.0,1470.0,168.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480535824701,Dari Creme Butter Milk 100g,Dari Creme,DAIRY,12,41.0,37.0,492.0,444.0,48.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,000008586780,Datu Puti Patis 1L,Datu Puti,CONDIMENTS,19,80.85,73.0,1536.15,1387.0,149.15,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,642611907726,Ajinomoto Seasoning Mix 50g,Ajinomoto,BEVERAGES,10,13.0,11.5,130.0,115.0,15.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,642647382226,Sisters Night Plus Cottony Napkin,Sisters,PERSONAL_CARE,13,44.5,40.0,578.5,520.0,58.5,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,642321541122,Sisters Overnight Dry,Sisters,PERSONAL_CARE,9,117.0,105.0,1053.0,945.0,108.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,672329634182,Whisper Cottony Soft Clean X-Long Overnight,Whisper,PERSONAL_CARE,15,128.0,115.0,1920.0,1725.0,195.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480088814685,Sunsilk Strong & Long 350ml,Sunsilk,PERSONAL_CARE,16,150.0,135.0,2400.0,2160.0,240.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,870021639476,Downy Sunrise Fresh Fabric Conditioner Sachet 20ml,Downy,HOUSEHOLD,7,7.0,6.0,49.0,42.0,7.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,480004784003,Zonrox Original Bleach 250ml,Zonrox,HOUSEHOLD,21,38.0,34.0,798.0,714.0,84.0,GCASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,037000359562,Ariel With a Touch of Downy Freshness Powder,Ariel,HOUSEHOLD,26,660.0,595.0,17160.0,15470.0,1690.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,490243086729,Joy Dishwashing Liquid Lemon 475ml,Joy,HOUSEHOLD,26,134.0,120.0,3484.0,3120.0,364.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-01,490243078997,Joy Dishwashing Liquid Lemon Sachet 40ml,Joy,HOUSEHOLD,16,12.0,10.5,192.0,168.0,24.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-02,544900000099,Coca-Cola Mismo 295ml,Coca-Cola,SODA,21,20.0,18.0,420.0,378.0,42.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-02,480198112005,Sprite 500ml,Coca-Cola,SOFTDRINKS_CASE,6,25.0,22.5,150.0,135.0,15.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
2024-01-02,480198112010,Royal Tru Orange 500ml,Coca-Cola,SOFTDRINKS_CASE,10,25.0,22.5,250.0,225.0,25.0,CASH,True,HOLIDAY,New Year's Day,1.0,1.6
